request_id,timestamp,capital_net,marital.status_Married-civ-spouse,is_married,capital_gain_log,capital.gain,age,marital.status_Never-married,education.num,has_higher_education,age_group_Young,hours.per.week,has_capital_activity,is_prime_age,capital.loss,relationship_Own-child,sex_Male,hours_category_Part-time,age_group_Mid-Career,occupation_Exec-managerial,relationship_Not-in-family,relationship_Unmarried,occupation_Other-service,hours_category_Overtime,occupation_Prof-specialty,workclass_Self-emp-inc,age_group_Senior,race_White,is_overworker,race_Black,hours_category_Standard,prediction,probability,model_version
74a75a1a-c861-493c-9d29-7e3186d3054f,2026-02-19 12:57:00,2174.0,0.0,0.0,7.684783943522785,2174.0,0.1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.002229929668828845,1.0.0
91881e1e-5ee9-4b1e-910a-3690e22221ea,2026-02-19 12:57:35,15024.0,1.0,1.0,9.617470759403409,15024.0,0.75,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.9999451637268066,1.0.0
bb4e4321-f51a-4c2e-8e94-249581af969b,2026-02-19 12:58:46,15024.0,1.0,1.0,9.617470759403409,15024.0,0.75,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.9999451637268066,1.0.0
f85b636a-1e0e-450d-8d4e-ad0a0f53f9ec,2026-02-19 12:59:19,0.0,0.0,0.0,0.0,0.0,-0.7,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0011831941083073616,1.0.0
a05912c8-4061-42de-966f-572818d8fd3a,2026-02-19 12:59:50,0.0,1.0,1.0,0.0,0.0,0.05,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.8782272338867188,1.0.0
872e901c-22b3-4fbb-947b-ba9d434c87b0,2026-02-19 13:00:15,0.0,0.0,0.0,0.0,0.0,-0.4,1.0,1.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.02945646457374096,1.0.0
dff596f5-11df-4573-99bc-d0c78eb0c745,2026-02-19 13:00:46,0.0,1.0,1.0,0.0,0.0,1.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0.7917906045913696,1.0.0
b4f76b6d-76a2-405e-bf17-b38cc653e517,2026-02-19 13:01:15,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1583845615386963,1.0.0
1b70c9f8-b65d-4d17-8b64-a8482dffab66,2026-02-19 13:01:37,0.0,1.0,1.0,0.0,0.0,0.4,0.0,-0.3333333333333333,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.675274133682251,1.0.0
ff6e78c6-0255-412a-961d-dd341ca35f51,2026-02-19 13:02:01,-1887.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1887.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.29250794649124146,1.0.0
52fb39e2-4873-4ab1-bc9f-acab8710580d,2026-02-19 13:02:28,5013.0,1.0,1.0,8.519989278718239,5013.0,-0.1,0.0,1.6666666666666667,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13243503868579865,1.0.0
f8bf155d-e899-4946-92bb-069bc3377ed2,2026-02-19 13:03:19,99999.0,1.0,1.0,11.512925464970229,99999.0,1.5,0.0,1.0,1.0,0.0,-4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.9961496591567993,1.0.0
b55b3d60-cf9e-4ebd-87d7-e97459ed7ebc,2026-02-19 13:15:16,15024.0,1.0,1.0,9.617470759403409,15024.0,0.75,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.9999451637268066,1.0.0
f326536e-d678-425c-b32b-77ee9598742b,2026-02-19 13:15:23,0.0,0.0,0.0,0.0,0.0,-0.7,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0011831941083073616,1.0.0
bd2f2914-8283-4a3b-ae65-08510d0fa661,2026-02-19 13:15:29,0.0,1.0,1.0,0.0,0.0,0.05,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.8782272338867188,1.0.0
ff8df14c-8f86-4f91-a2e4-431345fd81a2,2026-02-19 13:15:35,0.0,0.0,0.0,0.0,0.0,-0.4,1.0,1.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.02945646457374096,1.0.0
f89074f0-654d-40de-ad45-d12739e76773,2026-02-19 13:15:41,0.0,1.0,1.0,0.0,0.0,1.05,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0.7917906045913696,1.0.0
c12917f9-0d7f-499b-ae38-177bc988c27a,2026-02-19 13:15:48,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1583845615386963,1.0.0
2276b797-32b6-476b-ba32-21338b22b2dc,2026-02-19 13:15:53,0.0,1.0,1.0,0.0,0.0,0.4,0.0,-0.3333333333333333,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.675274133682251,1.0.0
fb7b8a1f-e271-4d4a-9379-2233345fa5c0,2026-02-19 13:15:59,-1887.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1887.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.29250794649124146,1.0.0
f3a18ee5-c908-4bb5-aeee-282069d5e5df,2026-02-19 13:16:06,5013.0,1.0,1.0,8.519989278718239,5013.0,-0.1,0.0,1.6666666666666667,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13243503868579865,1.0.0
97107d3e-1a05-43b0-8f42-d9323df28022,2026-02-19 13:16:12,99999.0,1.0,1.0,11.512925464970229,99999.0,1.5,0.0,1.0,1.0,0.0,-4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.9961496591567993,1.0.0
aa003f66-c93c-4da9-8f54-b46f191108b4,2026-02-19 13:20:53,15024.0,1.0,1.0,9.617470759403409,15024.0,0.75,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0.9999451637268066,1.0.0
5a82bcef-86c6-4dcf-b9f6-68a59c4160a0,2026-02-19 13:21:00,0.0,0.0,0.0,0.0,0.0,-0.7,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0011831941083073616,1.0.0
bc4d1f8f-0f38-4b1a-ac73-0d85cee12e05,2026-02-19 13:21:06,0.0,1.0,1.0,0.0,0.0,0.05,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.8782272338867188,1.0.0
